rating, material, time_in_seconds
9, G2StoneTileVersion1train7, 654.916349
1, G9TextileVersion4train4, 17.627972
5, G4Teaktrain7, 12.058449
10, G4CherryTreetest7, 19.485398
9, G2StoneTileVersion1test2, 11.036204
2, G6Carpettrain9, 14.174048
1, G9RedVelvettest5, 26.501209
8, G4CompressedWoodVersion1train8, 11.504476
0, G8GlitterPaperVersion2test5, 10.814984
2, G9RedFleezetrain8, 12.758296
1, G9RedVelvettest3, 10.459083
0, G8PlayingCardPapertest5, 10.226588
8, G2StoneTileVersion3train7, 17.43534
8, G4LaminatedWoodtrain2, 17.263356
1, G8Papertrain4, 12.610423
1, G9RedVelvettrain2, 9.201902
9, G4Teaktrain4, 8.714232
3, G9TextileVersion3test1, 11.052372
3, G9TextileVersion3train7, 11.193849
0, G3Coppertest6, 9.37811
1, G3Brasstrain1, 8.007091
4, G3AluminumPlatetrain2, 8.332425
5, G6Carpettrain3, 15.70318
4, G6Toweltest6, 23.371832
3, G8GlitterPaperVersion2train9, 12.784134
2, G9RedVelvettest6, 8.023875
0, G3Brasstest6, 8.182434
9, G4LaminatedWoodtest6, 10.831917
10, G2StoneTileVersion2test2, 7.129768
9, G2CrushedRocktest3, 18.406045
8, G2StoneTileVersion3test2, 13.305587
9, G4LaminatedWoodtrain6, 9.924849
5, G9RedFleezetrain6, 9.887215
2, G8GlitterPaperVersion2test6, 11.378017
3, G3Brasstrain5, 8.061185
10, G4CherryTreetrain4, 7.527902
0, G6Toweltest2, 12.736942
2, G8PlayingCardPapertrain8, 18.435901
9, G2Marbletest2, 8.513957
9, G2CrushedRocktest6, 11.972111
3, G9TableClothVersion2test3, 9.116505
2, G9Jeanstest7, 9.970126
2, G9GreenVelvettrain3, 21.951368
10, G1ProfiledAluminumPlatetrain5, 8.177601
2, G3AluminumPlatetrain1, 10.914118
6, G2Marbletrain6, 20.557392
1, G6Toweltest7, 36.381647
0, G3Coppertest5, 420.559256
0, G9GreenVelvettest6, 29.802181
3, G9RedVelvettest4, 9.736917
9, G4CherryTreetrain2, 12.666942
2, G8RoughPapertrain3, 12.187319
10, G4ProfiledWoodPlatetest3, 9.881263
3, G8GlitterPaperVersion1train2, 13.486481
10, G4CherryTreetrain9, 7.766462
5, G2StoneTileVersion3test4, 10.95684
8, G2StoneTileVersion2train8, 11.14397
4, G9RedFleezetest5, 23.848087
2, G6Carpettest1, 33.468698
8, G2Marbletrain5, 9.746721
4, G6Carpettrain1, 176.002724
10, G2Bricktest6, 10.812378
6, G9RedFleezetest3, 27281.8158
4, G3StainlessSteeltest3, 10.748886
9, G2Bricktrain2, 9.681166
9, G2Bricktrain8, 6.850774
7, G2StoneTileVersion2test3, 15.345358
1, G9TextileVersion4test4, 11.104247
3, G9TextileVersion3train8, 16.215703
1, G9Jeanstest6, 12.901193
9, G2StoneTileVersion2train3, 11.168422
7, G4LaminatedWoodtrain9, 9.667194
6, G2Marbletest3, 8.434517
5, G9TextileVersion3test7, 1813.262894
1, G8PlayingCardPapertest7, 9.701518
2, G8Papertrain3, 21.930048
