rating, material, time_in_seconds
50, G9TextileVersion3test5, 46.717893
60, G1ProfiledAluminumPlatetest3, 11.467568
40, G6Carpettrain9, 15.242919
80, G2Bricktest5, 9.216584
30, G9RedVelvettest6, 8.602613
70, G4Teaktrain4, 18.532057
90, G4CompressedWoodVersion1train5, 6.07285
100, G4CompressedWoodVersion1test1, 10.298681
10, G2Marbletest4, 9.92469
5, G9GreenVelvettrain5, 6.811435
80, G4Teaktest3, 9.425362
90, G2StoneTileVersion1test5, 5.861321
70, G4Teaktest5, 6.000785
10, G9TextileVersion4test4, 16.414793
50, G8GlitterPaperVersion1test5, 11.439749
25, G3Brasstest4, 10.713549
75, G2StoneTileVersion2train4, 5.912648
100, G2CrushedRocktest7, 8.341639
5, G9RedFleezetrain8, 10.612292
75, G4Larchtrain3, 21.468639
0, G8RoughPapertrain4, 7.399677
5, G8Papertest4, 7.41678
10, G9TextileVersion4train2, 4.783324
40, G4Bambootest1, 15.151318
30, G3AluminumPlatetest4, 5.19321
50, G9TextileVersion3test2, 8.73469
20, G3StainlessSteeltrain8, 6.866505
30, G2Marbletrain4, 15.324756
40, G4CherryTreetrain7, 5.705632
70, G4ProfiledWoodPlatetrain4, 7.552449
60, G4Bambootest2, 5.271843
65, G4LaminatedWoodtest6, 6.344887
55, G4Bambootrain2, 5.726928
50, G4WoodenPapertest6, 5.40056
20, G9RedVelvettrain5, 7.260899
80, G2StoneTileVersion2test6, 5.445212
40, G9TextileVersion3test4, 4.740972
60, G4Teaktrain8, 4.504785
50, G2StoneTileVersion3test7, 5.42147
40, G9TextileVersion3train2, 4.683185
45, G8GlitterPaperVersion1train3, 9.183101
90, G4ProfiledWoodPlatetrain7, 5.175981
40, G8GlitterPaperVersion1test2, 5.407034
55, G2StoneTileVersion3test4, 5.478011
10, G9RedFleezetest3, 4.8986
0, G8RoughPapertest6, 3.728023
95, G4ProfiledWoodPlatetrain8, 4.831654
100, G2CrushedRocktrain6, 4.954158
5, G8PlayingCardPapertrain5, 7.599007
90, G2StoneTileVersion1train7, 5.4084
70, G1ProfiledAluminumPlatetest6, 11.016312
0, G8RoughPapertrain8, 5.02202
15, G3AluminumPlatetrain2, 4.410548
25, G9Jeanstest5, 5.516344
0, G8RoughPapertest7, 3.92094
5, G6Toweltrain4, 8.520774
40, G8GlitterPaperVersion1test6, 8.625749
80, G2StoneTileVersion1test4, 4.990158
60, G2StoneTileVersion2train2, 4.47127
30, G6Carpettest7, 4.934688
50, G2Bricktrain8, 8.027034
40, G3Coppertest4, 9.903053
70, G4Larchtest5, 7.296407
40, G9Jeanstrain9, 6.177502
30, G4LaminatedWoodtrain4, 8.791054
20, G3StainlessSteeltrain2, 5.358276
40, G4WoodenPapertest4, 9.431613
80, G2StoneTileVersion2train7, 4.569292
40, G3AluminumPlatetest1, 8.510339
70, G1ProfiledAluminumPlatetrain8, 4.768574
85, G2StoneTileVersion1test3, 5.62279
75, G4Teaktrain3, 6.010491
40, G9RedVelvettrain8, 14.103249
20, G4LaminatedWoodtrain5, 8.445168
5, G8PlayingCardPapertrain4, 4.826554
45, G4Teaktrain7, 5.519182
35, G9TableClothVersion2test6, 9.246074
90, G4CompressedWoodVersion1train7, 10.691515
30, G9TextileVersion3test6, 6.048732
95, G4ProfiledWoodPlatetest7, 12.215346
25, G6Carpettest4, 7.015437
10, G9GreenVelvettrain2, 5.958092
100, G2CrushedRocktrain9, 4.778135
5, G8Papertest7, 5.368956
35, G4WoodenPapertest7, 8.447046
20, G3Brasstrain2, 4.716182
40, G9TextileVersion3train5, 4.094115
35, G6Carpettrain2, 6.397447
50, G9TableClothVersion2test3, 6.7991
20, G3StainlessSteeltest5, 5.665355
40, G8GlitterPaperVersion2train1, 5.143856
15, G3StainlessSteeltrain6, 7.944172
65, G2StoneTileVersion3test6, 6.420204
30, G3AluminumPlatetrain1, 10.869209
65, G2Bricktest7, 6.038702
50, G8GlitterPaperVersion2test6, 5.176642
45, G8GlitterPaperVersion2test4, 7.273914
55, G4LaminatedWoodtrain2, 8.306173
70, G4WoodenPapertrain5, 8.979508
100, G2CrushedRocktrain2, 6.974753
80, G2StoneTileVersion1test6, 5.920133
5, G8Papertrain7, 9.292588
70, G4ProfiledWoodPlatetest4, 7.115938
40, G9TextileVersion3train8, 5.366224
30, G3StainlessSteeltrain3, 4.120268
60, G1ProfiledAluminumPlatetrain1, 5.637354
65, G4CherryTreetrain2, 7.259701
15, G9TextileVersion4train4, 5.439669
15, G9TextileVersion4train9, 4.703999
10, G9RedFleezetest6, 13.186046
65, G2Bricktrain3, 4.711605
35, G3StainlessSteeltest3, 7.5135
20, G6Toweltest7, 5.775583
10, G8Papertrain4, 5.38308
30, G8GlitterPaperVersion1train9, 6.88632
55, G4Larchtrain6, 5.680772
15, G6Toweltest2, 9.11155
20, G3Coppertrain2, 5.495176
65, G4Bambootest6, 5.057102
45, G3AluminumPlatetrain9, 9.368562
65, G1ProfiledAluminumPlatetrain4, 8.461431
30, G6Toweltest4, 5.842156
100, G2CrushedRocktest2, 4.663396
75, G4Larchtest6, 5.824324
100, G2CrushedRocktest1, 5.535997
0, G8RoughPapertest1, 7.851961
5, G9RedVelvettest2, 16.378445
100, G2CrushedRocktest4, 11.160079
50, G4WoodenPapertrain3, 5.328083
80, G2StoneTileVersion2train8, 5.167235
70, G4Larchtrain8, 6.242777
60, G9TableClothVersion2train5, 5.705797
80, G4CherryTreetest4, 7.601191
50, G4WoodenPapertrain7, 5.369748
100, G2CrushedRocktrain8, 5.764837
65, G2Bricktrain7, 4.612743
35, G9RedVelvettrain2, 5.672165
50, G9TableClothVersion2test1, 4.904674
55, G8GlitterPaperVersion2train6, 15.631083
5, G8PlayingCardPapertrain6, 7.920055
10, G9RedVelvettest1, 4.396082
80, G4ProfiledWoodPlatetest6, 14.082546
25, G2Marbletrain3, 14.393814
10, G8Papertrain1, 6.504864
20, G4Bambootest5, 5.983817
30, G8GlitterPaperVersion2train2, 6.332854
25, G6Carpettrain3, 5.507142
50, G8GlitterPaperVersion2test3, 12.614628
40, G9Jeanstrain5, 9.607615
70, G4CherryTreetrain4, 6.504563
75, G4Bambootrain5, 7.488565
45, G3AluminumPlatetest7, 6.17571
55, G4WoodenPapertrain1, 5.042812
65, G4Teaktest1, 5.405265
85, G2StoneTileVersion2test4, 5.281124
20, G9TextileVersion4test7, 7.139781
60, G1ProfiledAluminumPlatetest7, 4.371046
65, G1ProfiledAluminumPlatetest2, 4.526065
40, G4WoodenPapertest5, 5.61079
